date_filed,entry_number,description
2026-07-15,62.0,"TRANSCRIPT OF PROCEEDINGS before Judge Ana C. Reyes held on 5/4/2026; Page Numbers: 1-50. Date of Issuance:7/15/2026. Court Reporter Christine T. Asif, Telephone number 202-354-3247, Transcripts may be ordered by submitting the Transcript Order FormFor the first 90 days after this filing date, the transcript may be viewed at the courthouse at a public terminal or purchased from the court reporter referenced above. After 90 days, the transcript may be accessed via PACER. Other transcript formats, (multi-page, condensed, CD or ASCII) may be purchased from the court reporter.NOTICE RE REDACTION OF TRANSCRIPTS: The parties have twenty-one days to file with the court and the court reporter any request to redact personal identifiers from this transcript. If no such requests are filed, the transcript will be made available to the public via PACER without redaction after 90 days. The policy, which includes the five personal identifiers specifically covered, is located on our website at www.dcd.uscourts.gov. Redaction Request due 8/5/2026. Redacted Transcript Deadline set for 8/15/2026. Release of Transcript Restriction set for 10/13/2026.(Asif, Christine) (Entered: 07/15/2026)"
2026-07-08,,Set/Reset Deadlines/Hearings: Response to Court's Order due by 7/17/2026. (zcdw)
2026-07-08,,
2026-07-08,60.0,"TRANSCRIPT OF MOTION HEARING before Judge Ana C. Reyes held on July 2, 2026; Page Numbers: 1-130. Court Reporter Sonja L. Reeves, RDR, CRR, Telephone number (202) 354-3246, Transcripts may be ordered by submitting the Transcript Order FormFor the first 90 days after this filing date, the transcript may be viewed at the courthouse at a public terminal or purchased from the court reporter referenced above. After 90 days, the transcript may be accessed via PACER. Other transcript formats, (multi-page, condensed, CD or ASCII) may be purchased from the court reporter.NOTICE RE REDACTION OF TRANSCRIPTS: The parties have twenty-one days to file with the court and the court reporter any request to redact personal identifiers from this transcript. If no such requests are filed, the transcript will be made available to the public via PACER without redaction after 90 days. The policy, which includes the five personal identifiers specifically covered, is located on our website at www.dcd.uscourts.gov. Redaction Request due 7/29/2026. Redacted Transcript Deadline set for 8/8/2026. Release of Transcript Restriction set for 10/6/2026.(Reeves, Sonja) (Entered: 07/08/2026)"
2026-07-06,,
2026-07-06,,
2026-07-06,,"MINUTE ORDER. As discussed during last week's motion hearing, the Court ORDERS the Government to respond to the following questions on or before July 17, 2026. 1. Has the Secretary of the Interior or any other high-ranking official made any statements or given any directives to anyone at the Agency--oral or written--concerning the President's statement that they will begin ""build[ing] one of the Greatest Golf Courses in the world"" by September 1, 2026? Donald J. Trump, Truth Social (June 28, 2026, 2:42 PM), https://truthsocial.com/@realDonaldTrump/posts/116829203090822692; 2. On what date did Clark Construction conduct testing on the excavated soil, and when did NPS receive the results? See Dkt. 38-1 at 2-3 (Nersesian Decl.); 3. Which individuals from the Agency accompanied President Trump during the site visit?; and 4. Who created the conceptual renderings reviewed at that visit, and who currently possesses or maintains those renderings? Lastly, the Court ORDERS the parties to meet and confer regarding proposed language for an interim preservation protocol governing activities at the site pending Court action. Signed by Judge Ana C. Reyes on 7/6/2026. (lcacr3)"
2026-07-02,,
2026-07-02,,Minute Entry for proceedings held before Judge Ana C. Reyes: Motion Hearing held on 7/2/2026 re 8 Motion to Stay or in the alternative Motion for Preliminary Injunction and 34 Motion to Dismiss for Lack of Jurisdiction and for Failure to State a Claim. Motions heard and taken under advisement. (Court Reporter: Sonja Reeves) (zcdw) Modified on 8/10/2026 to correct hearing date (zcdw).
2026-07-01,,"MINUTE ORDER. In preparation for tomorrow's motion hearing, the Court ORDERS the Government to be prepared to discuss: (1) Whether anyone at the National Garden of American Heroes Foundation or the O'Rourke Group has communicated with the National Park Service or the Department of the Interior regarding the proposed golf course and, if so, the nature and substance of those communications; (2) What commitments, if any, the Secretary of Interior or his delegates have made concerning President Trump's statements that they ""will build one of the Greatest Golf Courses in the world."" Donald J. Trump, Truth Social (June 28, 2026, 2:42 PM), https://truthsocial.com/@realDonaldTrump/posts/116829203090822692; (3) How the Government intends to undertake the actions listed in its Motion to Dismiss--including ""contract for architectural and design services"" and ""compliance with NEPA, Section 106, Section 7 of the Endangered Species Act, the Organic Act, and any other applicable laws and regulations""--by September 1, 2026. Dkt. [34-1] at 24; see Trump, supra; (4) On what basis Mr. Fazio has been appointed or designated as the architect or designer of the proposed golf course. See Trump, supra; (5) Whether NPS or the Department of the Interior has entered into any contract or agreement--oral or written--with respect to the construction of the proposed golf course by September 1, 2026; and (6) Whether any blueprints, plans, or conceptual designs for the proposed golf course exist and, if so, the current status of their review or approval. Signed by Judge Ana C. Reyes on 7/1/2026. (lcacr3)"
2026-07-01,,
2026-07-01,,
2026-06-30,,MINUTE ORDER granting 59 The Walter J. Travis Society's Unopposed Motion for Leave to File Amicus Brief. Signed by Judge Ana C. Reyes on 6/30/2026. (lcacr3)
2026-06-30,,
2026-06-30,,"MINUTE ORDER. The Motion Hearing set for July 2, 2026, will be accessible to the public via the Court's public access dial-in line. The public access telephone number is 833-990-9400, and the access code is 787605272. Signed by Judge Ana C. Reyes on 6/30/2026. (lcacr3)"
2026-06-30,,
2026-06-30,61.0,AMICUS BRIEF by WALTER J. TRAVIS SOCIETY. (znmw) (Entered: 07/09/2026)
2026-06-30,,
2026-06-29,58.0,"NOTICE PLAINTIFFS NOTICE OF FACTUAL DEVELOPMENTS REGARDING TRUMP, BURGUM, AND FAZIO SITE VISIT AND ENSUING TRUMP SOCIAL MEDIA POST by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS (Bardwell, Will) (Entered: 06/29/2026)"
2026-06-29,59.0,"Unopposed MOTION for Leave to File Amicus Brief by THE WALTER J. TRAVIS SOCIETY. (Attachments: # 1 Amicus Brief, # 2 Text of Proposed Order)(Ryan, Patricia) (Entered: 06/29/2026)"
2026-06-25,56.0,"REPLY to opposition to motion re 51 Motion for Discovery, filed by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Samburg, Mark) (Entered: 06/25/2026)"
2026-06-25,57.0,"REPLY to opposition to motion re 34 Motion to Dismiss/Lack of Jurisdiction, and for Failure to State a Claim filed by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Robertson, Michael) (Entered: 06/25/2026)"
2026-06-24,55.0,"NOTICE of Publication of Testing Results by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE (Robertson, Michael) (Entered: 06/24/2026)"
2026-06-04,54.0,"Memorandum in opposition to re 51 MOTION for Discovery Expedited Discovery filed by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Robertson, Michael) (Entered: 06/04/2026)"
2026-05-28,53.0,"Memorandum in opposition to re 34 MOTION to Dismiss for Lack of Jurisdiction and for Failure to State a Claim filed by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Bardwell, Will) (Entered: 05/28/2026)"
2026-05-27,,
2026-05-27,,NOTICE of Hearing: Motion Hearing set for 7/2/2026 at 2:00 PM in Courtroom 12 before Judge Ana C. Reyes. (zcdw)
2026-05-19,52.0,"Unopposed MOTION for Extension of Time to File Response/Reply as to 34 MOTION to Dismiss for Lack of Jurisdiction and for Failure to State a Claim by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Attachments: # 1 Text of Proposed Order)(Samburg, Mark) (Entered: 05/19/2026)"
2026-05-19,,"Set/Reset Deadlines: Plaintiffs' Opposition to Defendants' Motion to Dismiss is due by May 28, 2026. Defendants' Reply in Support of the Motion to Dismiss is due by June 25, 2026. Motion for Extra-Record Discovery: Defendants' Opposition to the Motion for Extra-Record Discovery is due by June 4, 2026. Plaintiffs' Reply in Support of the Motion for Extra-Record Discovery is due by June 25, 2026. (smc)"
2026-05-19,,"MINUTE ORDER. The Court GRANTS 52 Unopposed Motion for Extension of Time. Upon consideration of the 52 Motion and 36 Proposed Briefing Schedule, the Court ORDERS the parties to abide by the following briefing deadlines: Motion to Dismiss: Plaintiffs' Opposition to Defendants' Motion to Dismiss is due by May 28. Defendants' Reply in Support of the Motion to Dismiss is due by June 25. Motion for Extra-Record Discovery: Defendants' Opposition to the Motion for Extra-Record Discovery is due by June 4. Plaintiffs' Reply in Support of the Motion for Extra-Record Discovery is due by June 25. The Court further ORDERS the parties to contact the Courtroom Deputy to schedule a motion hearing for the week of June 29, 2026. Signed by Judge Ana C. Reyes on 5/19/2026. (lcacr3)"
2026-05-19,,
2026-05-19,,
2026-05-14,50.0,"NOTICE of Factual Development by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS (Attachments: # 1 Exhibit Announcement by Secretary Burgum)(Samburg, Mark) (Entered: 05/14/2026)"
2026-05-14,51.0,"MOTION for Discovery Expedited Discovery by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Attachments: # 1 Exhibit Index, # 2 Exhibit Exhibit 1: Proposed Discovery Requests, # 3 Exhibit Exhibit 2: Proposed Subpoenas, # 4 Text of Proposed Order)(Samburg, Mark) (Entered: 05/14/2026)"
2026-05-11,49.0,"NOTICE of Factual Development by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS (Attachments: # 1 Exhibit Statement by Secretary Burgum, # 2 Exhibit Statement by NLT)(Samburg, Mark) (Entered: 05/11/2026)"
2026-05-08,,
2026-05-05,,"MINUTE ORDER granting IN PART 47 Emergency Motion for Status Conference. The Court held the status conference on May 4, 2026. As discussed on the record, the Court defers ruling on 8 Motion for a Stay/Preliminary Injunction pending further briefing by the parties. Signed by Judge Ana C. Reyes on 5/5/2026. (lcacr3)"
2026-05-05,,
2026-05-04,,Set/Reset Deadlines/Hearings: Status Conference set for 5/4/2026 at 8:00 AM via videoconferece (Audio Line Available) before Judge Ana C. Reyes. (zcdw)
2026-05-04,,"MINUTE ORDER. The Court ORDERS the Government to ensure the attendance at this mornings status conference of Kevin Griess, Superintendent of National Mall and Memorial Parks (NAMA). The further ORDERS the Government to have present the individual at the Agency who has interfaced with the National Garden of American Heroes Foundation (Foundation). The Court EXPECTS the Government to locate this individual as soon as possible and have them join the conference as quickly as possible. The Court also ORDERS the Government to begin compiling communications concerning Hains Point or golf courses in Washington, D.C., including any communications between: (1) the Agency and the Foundation (including Meredith O'Rourke); (2) the Agency and the White House; and (3) the Agency and National Links Trust. The Court also ORDERS the Government to produce the communications between Mr. Griess and NAMA's Chief of Maintenance (referenced in paragraph 12 of his declaration). See Dkt. [48-1].During the conference, the Government shall be prepared to address: (1) the authentication of the Foundation's fundraising pledge; (2) whether the Government has entered into any agreement with the Foundation; and (3) whether any designer or architect has been named, and if so, who. Signed by Judge Ana C. Reyes on 5/4/2026.(lcacr3)"
2026-05-04,,Minute Entry for video proceedings held before Judge Ana C. Reyes: Status Conference held on 5/4/2026. (Court Reporter: Christine Asif) (zcdw)
2026-05-04,,
2026-05-04,,"MINUTE ORDER. The Court ORDERS the Government to ensure the attendance at this mornings status conference of Kevin Griess, Superintendent of National Mall and Memorial Parks (NAMA). The further ORDERS the Government to have present the individual at the Agency who has interfaced with the National Garden of American Heroes Foundation (Foundation). The Court EXPECTS the Government to locate this individual as soon as possible and have them join the conference as quickly as possible. The Court also ORDERS the Government to begin compiling communications concerning Hains Point or golf courses in Washington, D.C., including any communications between: (1) the Agency and the Foundation (including Meredith O'Rourke); (2) the Agency and the White House; and (3) the Agency and National Links Trust. The Court also ORDERS the Government to produce the communications between Mr. Griess and NAMA's Chief of Maintenance (referenced in paragraph 12 of his declaration). See Dkt. [48-1].During the conference, the Government shall be prepared to address: (1) the authentication of the Foundation's fundraising pledge; (2) whether the Government has entered into any agreement with the Foundation; and (3) whether any designer or architect has been named, and if so, who.Signed by Judge Ana C. Reyes on 5/4/2026.(lcacr3)"
2026-05-04,,
2026-05-04,48.0,"Memorandum in opposition to re 47 Emergency MOTION for Status Conference re 8 MOTION to Stay OR IN THE ALTERNATIVE MOTION for Preliminary Injunction filed by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 Declaration of Kevin Griess, # 2 Exhibit A)(Robertson, Michael) (Entered: 05/04/2026)"
2026-05-04,,"MINUTE ORDER. The Court ORDERS the Government to ensure the attendance at this mornings status conference of Kevin Griess, Superintendent of National Mall and Memorial Parks (NAMA). The further ORDERS the Government to have present the individual at the Agency who has interfaced with the National Garden of American Heroes Foundation (Foundation). The Court EXPECTS the Government to locate this individual as soon as possible and have them join the conference as quickly as possible. The Court also ORDERS the Government to begin compiling communications concerning Hains Point or golf courses in Washington, D.C., including any communications between: (1) the Agency and the Foundation (including Meredith O'Rourke); (2) the Agency and the White House; and (3) the Agency and National Links Trust. The Court also ORDERS the Government to produce the communications between Mr. Griess and NAMA's Chief of Maintenance (referenced in paragraph 12 of his declaration). See Dkt. [48-1].During the conference, the Government shall be prepared to address: (1) the authentication of the Foundation's fundraising pledge; (2) whether the Government has entered into any agreement with the Foundation; and (3) whether any designer or architect has been named, and if so, who. Signed by Judge Ana C. Reyes on 5/4/2026.(lcacr3)"
2026-05-04,,Minute Entry for video proceedings held before Judge Ana C. Reyes: Status Conference held on 5/4/2026. (Court Reporter: Christine Asif) (zcdw)
2026-05-03,,
2026-05-03,,"MINUTE ORDER re 47 Plaintiffs' Emergency Motion for Status Conference. Given representation by the Government in numerous hearings that no plans have been approved on the East Potomac Golf Course or are scheduled to take place (other than the land filing previously discussed), the Court ORDERS the Government to file a response to 47 Plaintiffs' Emergency Motion for Status Conference by 7:30 AM tomorrow (May 4, 2026). The Government's response shall address what, if any, work has taken place on the Golf Course. The Court expects the Government to have answers to its questions and ORDERS the Government to contact its client and for its client to respond before filing its response. The Court further ORDERS both parties to appear for a video status conference at 8:00 AM tomorrow (May 4, 2026). A client representative for the Government must be present. Signed by Judge Ana C. Reyes on 5/3/2026. (lcacr3)"
2026-05-03,47.0,"Emergency MOTION for Status Conference re 8 MOTION to Stay OR IN THE ALTERNATIVE MOTION for Preliminary Injunction by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Attachments: # 1 Memorandum in Support, # 2 Exhibit A (Pledge Agreement), # 3 Text of Proposed Order)(Bardwell, Will) Modified event on 5/4/2026 (znmw). (Entered: 05/03/2026)"
2026-05-03,,
2026-05-03,,"MINUTE ORDER. Tomorrow morning's status conference will be accessible to the public via the Court's public access dial-in line. The public access telephone number is 833-990-9400, and the access code is 787605272. Signed by Judge Ana C. Reyes on 5/3/2026. (lcacr3)"
2026-04-30,41.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 10.1, # 2 AR - 10.2, # 3 AR - 10.3, # 4 AR - 10.4)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,39.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 1, # 2 AR - 2, # 3 AR - 3, # 4 AR - 4, # 5 AR - 5)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,,
2026-04-30,40.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 6, # 2 AR - 7, # 3 AR - 8, # 4 AR - 9)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,42.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 10.5, # 2 AR - 10.6, # 3 AR - 10.7, # 4 AR - 10.8)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,38.0,"NOTICE of Publication of Testing Results and Filing of the Administrative Record by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE (Attachments: # 1 Declaration of Jennifer Nersesian, # 2 Declaration of Jessica Bowron, # 3 Certifying Declaration of Jennifer Nersesian)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,43.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 10.9, # 2 AR - 10.10)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,46.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 21, # 2 AR - 22, # 3 AR - 23, # 4 AR - 24, # 5 AR - 25, # 6 AR - 26, # 7 AR - 27, # 8 AR - 28, # 9 AR - 29, # 10 AR - 30, # 11 AR - 31)(Robertson, Michael) (Entered: 05/01/2026)"
2026-04-30,45.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 11, # 2 AR - 12, # 3 AR - 13, # 4 AR - 14, # 5 AR - 15, # 6 AR - 16, # 7 AR - 17, # 8 AR - 18, # 9 AR - 19, # 10 AR -20)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,44.0,"ADMINISTRATIVE RECORD Index by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 AR - 10.11, # 2 AR - 10.12)(Robertson, Michael) (Entered: 04/30/2026)"
2026-04-30,,Set/Reset Deadlines/Hearings: Motion for Extra-Record Discovery due by 5/14/2026. (zcdw)
2026-04-29,,"MINUTE ORDER granting 37 Unopposed Motion for Extension of Time. The Court ORDERS Plaintiffs to file their Motion for Extra-Record Discovery on or before May 14, 2026. Signed by Judge Ana C. Reyes on 4/29/2026. (lcacr3)"
2026-04-29,36.0,"PROPOSED BRIEFING SCHEDULE by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Bardwell, Will) (Entered: 04/29/2026)"
2026-04-29,37.0,"Unopposed MOTION for Extension of Time to File Motion for Extra-Record Discovery by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Bardwell, Will) (Entered: 04/29/2026)"
2026-04-29,,
2026-04-13,35.0,"TRANSCRIPT OF PROCEEDINGS before Judge Ana C. Reyes held on April 9, 2026; Page Numbers: 1-20. Date of Issuance:April 13, 2026. Court Reporter: Janice Dickman, Telephone number: 202-354-3267, Transcripts may be ordered by submitting the Transcript Order FormFor the first 90 days after this filing date, the transcript may be viewed at the courthouse at a public terminal or purchased from the court reporter referenced above. After 90 days, the transcript may be accessed via PACER. Other transcript formats, (multi-page, condensed, CD or ASCII) may be purchased from the court reporter.NOTICE RE REDACTION OF TRANSCRIPTS: The parties have twenty-one days to file with the court and the court reporter any request to redact personal identifiers from this transcript. If no such requests are filed, the transcript will be made available to the public via PACER without redaction after 90 days. The policy, which includes the five personal identifiers specifically covered, is located on our website at www.dcd.uscourts.gov. Redaction Request due 5/4/2026. Redacted Transcript Deadline set for 5/14/2026. Release of Transcript Restriction set for 7/12/2026.(Dickman, Janice) (Entered: 04/13/2026)"
2026-04-10,,
2026-04-10,34.0,"MOTION to Dismiss for Lack of Jurisdiction and for Failure to State a Claim by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 Memorandum in Support, # 2 Text of Proposed Order)(Robertson, Michael) (Entered: 04/10/2026)"
2026-04-09,,Minute Entry for video proceedings held before Judge Ana C. Reyes: Status Conference held on 4/9/2026. (Court Reporter: Jan Dickman) (zcdw)
2026-04-09,,Set/Reset Deadlines/Hearings: Status Conference set for 4/9/2026 at 4:00 PM via videoconference before Judge Ana C. Reyes. (zcdw)
2026-04-09,,"MINUTE ORDER. As discussed during this afternoon's status conference, the Court ORDERS Defendants to lodge the Administrative Record on or before April 30, 2026, and Plaintiffs to file any extra-record motion on or before May 7, 2026. The Court further ORDERS the parties to file a joint proposed briefing schedule and to contact the Courtroom Deputy to schedule the motion hearing(s). Signed by Judge Ana C. Reyes on 4/9/2026. (lcacr3)"
2026-04-09,,MINUTE ORDER. The Court ORDERS that tomorrow's status conference is rescheduled to this afternoon at 4:00 p.m. Signed by Judge Ana C. Reyes on 4/9/2026. (lcacr3)
2026-04-09,,"MINUTE ORDER. This afternoon's hearing will be accessible to the public via the Court's public access dial-in line. The public access telephone number is 833-990-9400, and the access code is 787605272. Signed by Judge Ana C. Reyes on 4/9/2026. (lcacr3)"
2026-04-09,,"MINUTE ORDER. Upon consideration of the parties' 33 Joint Status Report, the Court ORDERS the parties to appear for a virtual status conference tomorrow, April 10, 2026, at 3:00 p.m. Signed by Judge Ana C. Reyes on 4/9/2026. (lcacr3)"
2026-04-09,,
2026-04-09,,
2026-04-09,,
2026-04-09,,
2026-04-07,33.0,"Joint STATUS REPORT by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Bardwell, Will) (Entered: 04/07/2026)"
2026-04-07,,Set/Reset Deadlines: Joint Status Report due by 4/7/2026. (znbn)
2026-04-07,,
2026-04-06,,"MINUTE ORDER granting 32 Unopposed Motion for Extension of Time. The Court ORDERS the parties to file their Joint Status Report on or before April 7, 2026. Signed by Judge Ana C. Reyes on 4/6/2026. (lcacr3)"
2026-04-06,,
2026-04-02,32.0,"Unopposed MOTION for Extension of Time to File Joint Status Report by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Robertson, Michael) (Entered: 04/02/2026)"
2026-03-26,30.0,"NOTICE of Appearance by Caleb Hayes-Deats on behalf of All Plaintiffs (Hayes-Deats, Caleb) (Entered: 03/26/2026)"
2026-03-26,31.0,"TRANSCRIPT OF STATUS CONFERENCE before Judge Ana C. Reyes held on March 11, 2026. Page Numbers: 1 - 91. Date of Issuance: March 26, 2026. Court Reporter: Jeff Hook. Telephone number: 202-354-3373. Transcripts may be ordered by submitting the Transcript Order FormFor the first 90 days after this filing date, the transcript may be viewed at the courthouse at a public terminal or purchased from the court reporter referenced above. After 90 days, the transcript may be accessed via PACER. Other transcript formats, (multi-page, condensed, CD or ASCII) may be purchased from the court reporter.NOTICE RE REDACTION OF TRANSCRIPTS: The parties have twenty-one days to file with the court and the court reporter any request to redact personal identifiers from this transcript. If no such requests are filed, the transcript will be made available to the public via PACER without redaction after 90 days. The policy, which includes the five personal identifiers specifically covered, is located on our website at www.dcd.uscourts.gov. Redaction Request due 4/16/2026. Redacted Transcript Deadline set for 4/26/2026. Release of Transcript Restriction set for 6/24/2026.(Hook, Jeff) (Entered: 03/26/2026)"
2026-03-25,29.0,"NOTICE of Appearance by Angela Reilly on behalf of All Plaintiffs (Reilly, Angela) (Entered: 03/25/2026)"
2026-03-19,,
2026-03-19,,"MINUTE ORDER granting 28 Unopposed Motion for Extension of Time. The Court ORDERS the parties to file the Joint Status Report five business days after the parties receive the March 11, 2026, hearing transcript. Signed by Judge Ana C. Reyes on 3/19/2026. (lcacr3)"
2026-03-18,28.0,"Unopposed MOTION for Extension of Time to File Joint Status Report by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Bardwell, Will) (Entered: 03/18/2026)"
2026-03-12,,
2026-03-11,,
2026-03-11,,MINUTE ORDER granting 27 Motion for Leave for Angela Reilly to Appear Pro Hac Vice. Counsel should register for e-filing via PACER and file a notice of appearance pursuant to LCvR 83.6(a). Click for instructions. Signed by Judge Ana C. Reyes on 3/11/2026. (lcacr3)
2026-03-11,,"MINUTE ORDER. This afternoon's status conference will be accessible to the public via the Court's public access dial-in line. The public access telephone number is 833-990-9400, and the access code is 787605272. Signed by Judge Ana C. Reyes on 3/11/2026. (lcacr3)"
2026-03-11,,
2026-03-11,,
2026-03-11,,Minute Entry for proceedings held before Judge Ana C. Reyes: Status Conference held on 3/11/2026. Parties directed to submit a Joint Status Report by 3/20/2026. (Court Reporter: Jeff Hook) (zcdw)
2026-03-11,,
2026-03-10,,
2026-03-10,27.0,"MOTION for Leave to Appear Pro Hac Vice :Attorney Name- Angela Reilly, Filing fee $ 100, receipt number ADCDC-12290988. Fee Status: Fee Paid. by DC PRESERVATION LEAGUE. (Attachments: # 1 Exhibit A (Decl. of A. Reilly), # 2 Exhibit B (Cert. of Good Standing))(Lowell, Abbe) (Entered: 03/10/2026)"
2026-03-10,,NOTICE of Hearing: Status Conference set for 3/11/2026 at 3:00 PM in Courtroom 12 before Judge Ana C. Reyes. Public access line will be available. (zcdw) Modified on 3/11/2026 to update hearing location (zcdw).
2026-03-10,,NOTICE of Hearing: Status Conference set for 3/11/2026 at 3:00 PM in Courtroom 12 before Judge Ana C. Reyes. (zcdw)
